sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 23, 2024 22:02:18

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
    +inst_efx_ddr3:top_f8e357ee76084051a56be552e4669b77     	  1778(188)	     162(0)	    234(64)	  1695(383)	     0(0)	    27(0)	     0(0)	
     +top_mc:controller_top_f8e357ee76084051a56be552e4669b77	   1578(27)	     160(0)	     170(0)	   1300(26)	     0(0)	    27(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_f8e357ee76084051a56be552e4669b77(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_f8e357ee76084051a56be552e4669b77(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     69(58)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     62(43)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     50(38)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     44(31)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_f8e357ee76084051a56be552e4669b77_renamed_due_excessive_length_1	      50(0)	      14(0)	      35(0)	      84(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_f8e357ee76084051a56be552e4669b77(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     41(41)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_f8e357ee76084051a56be552e4669b77(FAMILY="TITANIUM",SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2)	     50(50)	      14(0)	     35(35)	     43(19)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_f8e357ee76084051a56be552e4669b77(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_f8e357ee76084051a56be552e4669b77(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_f8e357ee76084051a56be552e4669b77(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     48(40)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     44(39)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_f8e357ee76084051a56be552e4669b77	 1157(1157)	   146(146)	   103(103)	   873(870)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_f8e357ee76084051a56be552e4669b77(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       1(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_f8e357ee76084051a56be552e4669b77(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_f8e357ee76084051a56be552e4669b77 	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	     47(47)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl:i2c_timing_ctrl(CLK_FREQ=24000000,I2C_FREQ=50000)	     64(64)	       0(0)	     41(41)	   438(438)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16reg_16bit:i2c_timing_ctrl_reg16_dat16(CLK_FREQ=96000000,I2C_FREQ=50000)	     71(71)	       0(0)	     41(41)	   253(253)	     0(0)	     0(0)	     0(0)	
 +dsi_pwm:PWMLite                                           	       8(8)	       0(0)	       6(6)	       2(2)	     0(0)	     0(0)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=921600)    	   449(299)	      40(0)	      90(8)	   364(246)	     0(0)	    14(0)	     0(0)	
  +u_W0_FIFO_128:W0_FIFO_128                                	      75(0)	      20(0)	      41(0)	      60(0)	     0(0)	     7(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_61ddabce8a534d5a9f89e8773cc6bb10_renamed_due_excessive_length_2	      75(4)	      20(0)	      41(0)	      60(0)	     0(0)	     7(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_61ddabce8a534d5a9f89e8773cc6bb10(FAMILY="TITANIUM",MODE="FWFT",WDATA_WIDTH=128,RDATA_WIDTH=128,OUTPUT_REG=0,RAM_MUX_RATIO=1,ENDIANESS=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     7(7)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_61ddabce8a534d5a9f89e8773cc6bb10_renamed_due_excessive_length_3	     71(71)	      20(0)	     41(41)	     60(24)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_61ddabce8a534d5a9f89e8773cc6bb10(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_61ddabce8a534d5a9f89e8773cc6bb10(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +u_R0_FIFO_128:W0_FIFO_128                                	      75(0)	      20(0)	      41(0)	      58(0)	     0(0)	     7(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_61ddabce8a534d5a9f89e8773cc6bb10_renamed_due_excessive_length_2	      75(4)	      20(0)	      41(0)	      58(0)	     0(0)	     7(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_61ddabce8a534d5a9f89e8773cc6bb10(FAMILY="TITANIUM",MODE="FWFT",WDATA_WIDTH=128,RDATA_WIDTH=128,OUTPUT_REG=0,RAM_MUX_RATIO=1,ENDIANESS=1)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     7(7)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_61ddabce8a534d5a9f89e8773cc6bb10_renamed_due_excessive_length_3	     71(71)	      20(0)	     41(41)	     58(22)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_61ddabce8a534d5a9f89e8773cc6bb10(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_61ddabce8a534d5a9f89e8773cc6bb10(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_61ddabce8a534d5a9f89e8773cc6bb10(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     54(54)	       0(0)	     24(24)	   175(175)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	      45(0)	       0(0)	      81(0)	     105(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     34(34)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     44(44)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     27(27)	     0(0)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	   878(878)	     28(28)	   100(100)	 1048(1048)	     0(0)	   15(15)	     0(0)	
